index,Release,Tag,Name,Blend participant,Wanda,Description,Valid numeric range,Scale interpretation,Recommended ‘normal’ value,Suggested programmatic interactions,Suggested user interactions,Demo,Written,Edited,Glyph,Video Complete,Delivered DC,Mantra flag tag
1,Yes,xtra,x transparent,wght width opsz,justification,assigns a “white” per mille value to each instance of the design space,Values must be in the range -1000 to 2000,Values can be interpreted as per-mille-of-em,Sample value 400,"Applications may choose to select a variant in connection to an input, or it might be programmatically used","Users may choose to program a variant in connection to direct or conjunctive input for a page description language, or via a user interface",Yes,Yes,Yes,HOho,X,,none
2,Yes,xopq,x opaque,opsz wght wdth,Weight matching,assigns a “black” per mille value to each instance of the design space,Values must be in the range -1000 to 2000,Values can be interpreted as per-mille-of-em,Sample value 88,Applications may choose to select a variant in connection to an input or it might be programmatically used,"Users may choose to program a variant in connection to direct or conjunctive input for a page description language, or via a user interface",Yes,Yes,Yes,HOho,X,,none
3,Yes,ytra,y transparent,yopq ,linespacing,assigns an overall “white” per mille value to each instance,Values must be in the range 0 to 2000,Values can be interpreted as per-mille-of-em,Sample value 884,"Applications may choose to select a variant in connection to an inpu, or it might be programmatically used","Users may choose to program a variant in connection to direct or conjunctive input for a page description language, or via a user interface",Yes,Yes,Yes,Hhp,X,,none
4,Yes,yopq,y opaque,opsz wght wdth,contrasting,assigns a “black” per mille value to each instance of the design space,Values must be in the range -1000 to 2000,Values can be interpreted as per-mille-of-em,Sample value 116,Applications may choose to select a variant in connection to an input or it may be programmatically used.,"Users may choose to program a variant in connection to direct or conjunctive input for a page description language, or via a user interface",Yes,Yes,Yes,HOho,X,,none
5,Yes,ytlc,y transparent lowercase,opsz wght,height matching,assigns a “white” per mille value to each instance of the design space,Values must be in the range 0 to 1000,Values can be interpreted as per-mille-of-em,"Sample value, 500","Applications may choose to select a variant in connection to an input, or it might be programmatically used.","Users may choose to program a variant in connection to direct or conjunctive input for a page description language, or via a user interface",Yes,Yes,Yes,Hh,X,,none
6,Yes,ytuc,y transparent uppercase,xtra xopq ,height matching,a “white” per mille value for each Uppercase Height in the design space,Values must be in the range -1000 to 1000,Values can be interpreted as per-mille-of-em,Sample value 725,Applications may choose to select a variant in connection to an input or it might be programmatically used.,"Users may choose to program a variant in connection to direct or conjunctive input for a page description language, or via a user interface",Yes,Yes,Yes,Hh,X,,none
7,Yes,ytde,y transparent descender,ytra ytuc ytlc,linespacing,assigns a “white” per mille value to each instance of the design space,Values must be in the range -1000 to 0,Values can be interpreted as per-mille-of-em,Sample value -250,"Applications may choose to select a variant in connection to input, or i the axis be programmatically used with input like line-spacing","Users may choose to program a variant in connection to direct or conjunctive input for a page description language, or via a user interface",Yes,Yes,Yes,Pp,X,,none
8,Yes,ytas,y transparent ascender ,opsz ytlc ytde,linespacing,assigns a “white” per mille value to each instance of the design space,Values must be in the range 0 to 1000,Values can be interpreted as per-mille-of-em,Sample value 750,"Applications may choose to select a variant in connection to an input, or it might be programmatically used","Users may choose to program a variant in connection to direct or conjunctive input for a page description language, or via a user interface",Yes,Yes,Yes,Hh,X,,none
9,Yes,xtab,tabular width,none,,Axis contains a per mille value to each monospace or tabular instance,"Values must be in the range 1 to 4,000","Values can be interpreted as per-mille-of-em changes, between any instances in the design space",Sample value 500,"Applications except monospace setting, and such a width can vary along axis.","Users may choose to program a variant in connection to direct or conjunctive input for a page description language, or via a user interface.",Yes,Yes,Yes,,,,Treatment
10,Yes,udln,Underline,ytdd,,values for weight of an underline,Values must be in the range 1 to 1000,Values can be interpreted as per-mille-of-em,Sample value for a Sans regular Latin would be 120,"Applications may use the underline axis, or it may inform instance-making software of underline value and location.","Users may choose to program a variant in connection to direct or conjunctive input for a page description language, or via a user interface.",No,Yes,,,,,none
